data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,The Nursing Center for Family Health,777 W State St STE 201,Columbus,OH,43222-1523,Franklin,Non-Rural,,,,,
,Vineyard Cooper Road,6000 Cooper Rd,Westerville,OH,43081-8984,Franklin,Non-Rural,,,,,
,Walnut Street Health Center,773 S Walnut St,Marysville,OH,43040-1643,Union,Non-Rural,,,,,
Mental Health,73999939CE,Lutheran Social Services Of Central Ohio,Federally Qualified Health Center,Ohio,"Franklin County, OH",,18,NA,Designated,Non-Rural,04/28/2017,09/10/2021
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Health Center at Faith Mission,245 N Grant Ave,Columbus,OH,43215-2641,Franklin,Non-Rural,,,,,
Mental Health,73999939BN,SOUTHEAST COMMUNITY MENTAL HEALTH CENTER INC,Federally Qualified Health Center,Ohio,"Franklin County, OH",,18,NA,Designated,Non-Rural,08/01/2011,09/10/2021
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,FOH Men's Shelter- Dental Site,924 E Main St,Columbus,OH,43205-2338,Franklin,Non-Rural,,,,,
,Franklin Station Health Center,524 W Broad St,Columbus,OH,43215-2775,Franklin,Non-Rural,,,,,
,Mobile Coach,16 W Long St,Columbus,OH,43215-2815,Franklin,Non-Rural,,,,,
,Shadyside School-Based Health Center Site,3795 Leona Ave,Shadyside,OH,43947-1367,Belmont,Non-Rural,,,,,
,Southeast Healthcare - Front Street,86 N Front St,Columbus,OH,43215-2836,Franklin,Non-Rural,,,,,
,Southeast Healthcare -Carrollton Health Center,783 Jones Ave NW,Carrollton,OH,44615-9434,Carroll,Rural,,,,,
,Southeast Healthcare -New Philadelphia Health Center,344 W High Ave,New Philadelphia,OH,44663-2152,Tuscarawas,Rural,,,,,
,"Southeast Inc., Long Street",16 W Long St,Columbus,OH,43215-2815,Franklin,Non-Rural,,,,,
,"Southeast Inc., Long Street Admin",16 W Long St,Columbus,OH,43215-2815,Franklin,Non-Rural,,,,,
,"Southeast Inc., Mobile Medical Unit - Eastern Ohio",68353 Bannock Rd,Saint Clairsville,OH,43950-9736,Belmont,Non-Rural,,,,,
,"Southeast, Inc. - Cadiz Health Center",243 S Main St,Cadiz,OH,43907-1131,Harrison,Unknown,,,,,
,"Southeast, Inc. - Delaware Health Center",824 Bowtown Rd,Delaware,OH,43015-9661,Delaware,Non-Rural,,,,,
,"Southeast, Inc. - Martins Ferry Health Center",301 Walnut St,Martins Ferry,OH,43935-1429,Belmont,Non-Rural,,,,,
,"Southeast, Inc. - Merion Village Health Center",1455 S 4th St,Columbus,OH,43207-1011,Franklin,Non-Rural,,,,,
,"Southeast, Inc. - Near East Side Health Center",720 E Broad St STE 101,Columbus,OH,43215-3989,Franklin,Non-Rural,,,,,
,"Southeast, Inc. - St. Clairsville",68353 Bannock Rd,Saint Clairsville,OH,43950-9736,Belmont,Non-Rural,,,,,
,"Southeast, Inc. - Woodsfield Health Center",37990 Airport Rd,Woodsfield,OH,43793-9247,Monroe,Rural,,,,,
,Van Buren Health Clinic,595 Van Buren Dr,Columbus,OH,43223-2230,Franklin,Non-Rural,,,,,
Mental Health,7399993973,"Hopewell Health Centers, Inc.",Federally Qualified Health Center,Ohio,"Ross County, OH",,22,NA,Designated,Rural,10/26/2002,09/11/2021
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Athens WIC Clinic,215 Columbus Rd STE 106,Athens,OH,45701-1373,Athens,Rural,,,,,
,Bundy Elementary School Behavioral Health Clinic,525 S Missouri Ave,Wellston,OH,45692,Jackson,Rural,,,,,
,Cheshire REACH,8323 State Route 7 N,Cheshire,OH,45620-9001,Gallia,Rural,,,,,
,Chillicothe Admin 2,77 E Water St STE 202,Chillicothe,OH,45601-2586,Ross,Rural,,,,,
,Chillicothe Dental,624 Central Ctr,Chillicothe,OH,45601-2248,Ross,Rural,,,,,
,Columbus Road,141 Columbus Rd,Athens,OH,45701-1315,Athens,Rural,,,,,
,Eastern School Based Clinic,38900 State Route 7,Reedsville,OH,45772-9724,Meigs,Rural,,,,,
,Federal Hocking School Health Center,8461 State Route 144,Stewart,OH,45778-9501,Athens,Rural,,,,,
,Gallia Intensive Outpatient Clinic,Holly Ln,Gallipolis,OH,45631,Gallia,Rural,,,,,
,Hopewell 9 Kenny Drive,9 Kenny Dr,Athens,OH,45701-9406,Athens,Rural,,,,,
,Hopewell Health Centers - Athens,90 Hospital Dr,Athens,OH,45701-2301,Athens,Rural,,,,,
,Hopewell Health Centers - Athens Respite,7976 Dairy Ln,Athens,OH,45701-9391,Athens,Rural,,,,,
,Hopewell Health Centers - Belpre,2434 Richmiller Ln UNIT F,Belpre,OH,45714-1075,Washington,Rural,,,,,
,Hopewell Health Centers - Chillicothe,1049 Western Ave,Chillicothe,OH,45601-1104,Ross,Rural,,,,,
,Hopewell Health Centers - Chillicothe Dental,622 Central Ctr,Chillicothe,OH,45601-2248,Ross,Rural,,,,,
,Hopewell Health Centers - Coolville,25716 Wilson St,Coolville,OH,45723-8153,Athens,Rural,,,,,
,Hopewell Health Centers - Gallipolis,3086 State Route 160,Gallipolis,OH,45631-8409,Gallia,Rural,,,,,
,Hopewell Health Centers - Jackson Burlington,500 Burlington Rd STE 240,Jackson,OH,45640-9360,Jackson,Rural,,,,,
,Hopewell Health Centers - Jackson McCarty,502 McCarty Ln,Jackson,OH,45640-7020,Jackson,Rural,,,,,
,Hopewell Health Centers - Logan,30381 Chieftain Dr,Logan,OH,43138-9092,Hocking,Rural,,,,,
,Hopewell Health Centers - Logan Behavioral Health,541 State Route 664 N STE C,Logan,OH,43138-8541,Hocking,Rural,,,,,
,Hopewell Health Centers - McArthur,31891 State Route 93,Mc Arthur,OH,45651-9006,Vinton,Rural,,,,,
,Hopewell Health Centers - Nelsonville,1950 Mount Saint Marys Dr # 39S,Nelsonville,OH,45764-1280,Athens,Rural,,,,,
,Hopewell Health Centers - Nelsonville REACH,14455 Kimberley Rd,Nelsonville,OH,45764-9430,Athens,Rural,,,,,
,Hopewell Health Centers - New Lexington,2541 Panther Dr NE,New Lexington,OH,43764-9081,Perry,Rural,,,,,
,Hopewell Health Centers - Pomeroy,41865 Pomeroy Pike,Pomeroy,OH,45769-9473,Meigs,Rural,,,,,
,Hopewell Health Centers - Racine Dental,106 Tyree Blvd,Racine,OH,45771-5008,Meigs,Rural,,,,,
,Hopewell Health Centers--Marietta Clinic,207 Colegate Dr,Marietta,OH,45750-2363,Washington,Rural,,,,,
,Logan Hocking Middle School Behavioral Health Clinic,13579 Maysville Williams Rd,Logan,OH,43138-8971,Hocking,Rural,,,,,
,Logan-Hocking School Behavioral Health Clinic,14470 State Route 328,Logan,OH,43138-9444,Hocking,Rural,,,,,
,Meigs Behavioral Health,112 E Memorial Dr,Pomeroy,OH,45769-9569,Meigs,Rural,,,,,
,Meigs High School Behavioral Health Clinic,42091 Pomeroy Pike,Pomeroy,OH,45769,Meigs,Rural,,,,,
,Mount Logan School Clinic,841 E Main St STE 178,Chillicothe,OH,45601-3509,Ross,Rural,,,,,
,Nelsonville School-Based Health Clinic,4 Buckeye Dr STE E302,Nelsonville,OH,45764-9591,Athens,Rural,,,,,
,Reynoldsburg Clinic,7335 E Livingston Ave,Reynoldsburg,OH,43068-3089,Franklin,Non-Rural,,,,,
,Tom Cat Health Center,18500 Jacksonville Rd,Glouster,OH,45732-9337,Athens,Rural,,,,,
,Vinton County Middle School Behavioral Health Clinic,63780 Locker Plant Rd,Mc Arthur,OH,45651-8000,Vinton,Rural,,,,,
,Vinton High School Behavioral Health School Clinic,63910 US Highway 50,Mc Arthur,OH,45651-1301,Vinton,Rural,,,,,
,Washington County REACH,10595 State Route 550,Vincent,OH,45784-5650,Washington,Rural,,,,,
,Wellston High School Behavioral Health Clinic,200 Golden Rocket Dr OFC B204,Wellston,OH,45692-9605,Jackson,Rural,,,,,
,Wellston Intermediate Behavioral Health School Clinic,225 Golden Rocket Dr OFC E126,Wellston,OH,45692-9605,Jackson,Rural,,,,,
Mental Health,7391916556,"OHIO STATE UNIVERSITY, THE",Federally Qualified Health Center,Ohio,"Franklin County, OH",,16,NA,Designated,Non-Rural,02/11/2020,09/11/2021
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Ohio State Total Health Care Center (THCC) Tower 15,181 Taylor Ave STE 1501,Columbus,OH,43203-1779,Franklin,Non-Rural,,,,,
,Ohio State University Total Health Care Center (THCC),181 Taylor Ave STE 1203,Columbus,OH,43203-1779,Franklin,Non-Rural,,,,,
,OSU Total Health Care Center (THCC) at Outpatient Care East,543 Taylor Ave FL 2,Columbus,OH,43203-1278,Franklin,Non-Rural,,,,,
,Total Health Care Center (THCC) at St. Vincent Family Services,1490 E Main St,Columbus,OH,43205-2140,Franklin,Non-Rural,,,,,
Mental Health,7393908495,LI - Franklin County,Low Income Population HPSA,Ohio,"Franklin County, OH",26.046,16,NA,Designated,Non-Rural,06/28/2022,06/28/2022
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Ohio,Franklin,Franklin,Single County,39049,Non-Rural,,,,,,
Mental Health,7397564811,Twin Valley Behavioral Healthcare,State Mental Hospital,Ohio,"Franklin County, OH",,8,NA,Designated,Non-Rural,08/28/2013,11/07/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Twin Valley Behavioral Healthcare,2200 W Broad St,Columbus,OH,43223-1297,Franklin,Non-Rural,,,,,
